company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
UK EKIN LTD,17138798,active,ltd,,,2026-04-07,,2026-04-07,[96020],264 High Street Waltham Cross United Kingdom EN8 7EA
THEALANA LTD,17131365,active,ltd,,,2026-04-01,,2026-04-01,[70229],C/O Warner And Co Accountants Ltd Ware United Kingdom SG12 7QE
AT & RT PROPERTY LTD,17131543,active,ltd,,,2026-04-01,,2026-04-01,[68100],Unit 1b Focus Four Letchworth Garden City England SG6 2TU
ECS CONSULTANCY SERVICES LTD,17134069,active,ltd,,,2026-04-02,,2026-04-02,[70229],Rivers Lodge, Harpenden England AL5 2JD
MY RENTALS LIMITED,17142423,active,ltd,,,2026-04-08,,2026-04-08,[68209],1 Allied Business Centre Harpenden England AL5 4UT
CHANGE-TO-BE EDUCATION LTD,17132138,active,ltd,,,2026-04-01,,2026-04-01,[85590],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE
ED MEDICAL SERVICES LTD,17141575,active,ltd,,,2026-04-07,,2026-04-07,[86220],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE
ALPSA LIMITED,17131186,active,ltd,,,2026-04-01,,2026-04-01,[68209],29 Cherry Hill St Albans United Kingdom AL2 3AT
ASSOCIATION OF CERTIFIED ACCOUNTANTS LTD,17133154,active,ltd,,,2026-04-02,,2026-04-02,[69201, 69203],17 Parr Crescent Hemel Hempstead United Kingdom HP2 7LJ
ORLANA LIMITED,17144255,active,ltd,,,2026-04-08,,2026-04-08,[47990],85 Well Road Barnet England EN5 3EA
DAVIT PROPERTIES LTD,17136570,active,ltd,,,2026-04-03,,2026-04-03,[68100, 68209],26 Ryman Court Stag Lane Rickmansworth United Kingdom WD3 5HN
AR PROP SERV LTD,17134138,active,ltd,,,2026-04-02,,2026-04-02,[41202, 43320, 43390],1 New Cottages Hitchin United Kingdom SG4 8LH
GR ARTISTS LTD,17155207,active,ltd,,,2026-04-13,,2026-04-13,[96020],5 Beaumont Gate Radlett United Kingdom WD7 7AR
T & I IMMIGRATION ADVISERS LTD,17173000,active,ltd,,,2026-04-21,,2026-04-21,[69109],58 Garston Lane Watford United Kingdom WD25 9QL
HZ RESIDENTIAL LIMITED,17172338,active,ltd,,,2026-04-21,,2026-04-21,[68209],Unit 1b Focus Four Letchworth Garden City England SG6 2TU
GSK TRANSPORT GROUP LTD,17172582,active,ltd,,,2026-04-21,,2026-04-21,[49410],Hitchin Invision House Hitchin England SG4 0TY
HERTFIELDS EVENTS LTD,17146743,active,ltd,,,2026-04-09,,2026-04-09,[82990],Rae House Bishops Stortford United Kingdom CM23 3BT
FORDHAM HOLDINGS LIMITED,17152725,active,ltd,,,2026-04-13,,2026-04-13,[68209],4 Imperial Place, Borehamwood England WD6 1JN
BSA HIGH PERFORMANCE LTD,17156267,active,ltd,,,2026-04-14,,2026-04-14,[85510],Unit 2 Hillside Farm Hillside Lane Ware England SG12 9SH
LMB CONSULTING LIMITED,17157206,active,ltd,,,2026-04-14,,2026-04-14,[70229],4th Floor Radius House Watford England WD17 1HP
CORRELATE LIMITED,17184269,active,ltd,,,2026-04-27,,2026-04-27,[73110],215a Cuffley Place Cuffley United Kingdom EN6 4RY
HERONWICK LTD,17149350,active,ltd,,,2026-04-10,,2026-04-10,[47910],19 Brandles Road Letchworth Garden City United Kingdom SG6 2JA
VH COMMERCIAL LIMITED,17147475,active,ltd,,,2026-04-09,,2026-04-09,[74902],Flat 4 18 Market Square Bishop's Stortford England CM23 3UU
BED ROK CONSTRUCTION LIMITED,17148630,active,ltd,,,2026-04-10,,2026-04-10,[82990],Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP
CHARLOTTE TAYLOR LONDON LASER SPECIALIST LIMITED,17159509,active,ltd,,,2026-04-15,,2026-04-15,[82990],Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP
BENTON & PARTNERS LTD,17161933,active,ltd,,,2026-04-16,,2026-04-16,[82990],C/O Michael Filiou Ltd Salisbury House Potters Bar England EN6 5AS
EK-ABA CONSULTATION SERVICES LTD,17160842,active,ltd,,,2026-04-16,,2026-04-16,[85590],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE
JOHN STANDING ART LTD,17161509,active,ltd,,,2026-04-16,,2026-04-16,[90030],Rae House Bishops Stortford United Kingdom CM23 3BT
YULIA VOROBIEVA LIMITED,17181736,active,ltd,,,2026-04-27,,2026-04-27,[70229],54 Newberries Avenue Radlett United Kingdom WD7 7EP
BOXX PIZZA LIMITED,17181770,active,ltd,,,2026-04-27,,2026-04-27,[56103],81 Turners Hill Waltham Cross United Kingdom EN8 9BD
LA HEALING THAI MASSAGE LTD,17184354,active,ltd,,,2026-04-27,,2026-04-27,[96040],140, Brodie Court, Flat 71 Blenheim Way Stevenage United Kingdom SG2 8FD
CLM & HLM PROPERTIES LIMITED,17182297,active,ltd,,,2026-04-27,,2026-04-27,[68209],Manufactory House Hertford England SG14 1BP
TAXADOO LIMITED,17182294,active,ltd,,,2026-04-27,,2026-04-27,[62090],C/O Gardian Accounting Ltd 4 Imperial Place Maxwell Road Borehamwood United Kingdom WD6 1JN
RICHBEAR LIMITED,17182758,active,ltd,,,2026-04-27,,2026-04-27,[47910],5 Edinburgh Avenue Hertfordshire United Kingdom WD3 8LD
GC PROPERTY CONSULTANCY LTD,17186574,active,ltd,,,2026-04-28,,2026-04-28,[70229],Unit 4 Grovelands Hemel Hempstead United Kingdom HP2 7TE
MIRANDA BOLTER STUDIO LIMITED,17187386,active,ltd,,,2026-04-28,,2026-04-28,[74100],Manufactory House Hertford England SG14 1BP
DIRECT CONNECT MINIBUS TRAVEL LTD,17187479,active,ltd,,,2026-04-28,,2026-04-28,[49390],Unit 3 & 4 Pudds Cross Industrial Estate Bovingdon United Kingdom HP3 0NW
