company_name,company_number,first_director,first_director_forename,source,retrieved
MFB OSTEOPATHY LIMITED,16807944,Blackburn Monica,CHECK,Companies House /officers,2026-09-13
NEXT LINK CONSORTIUM LIMITED,16797087,Hadley Cowham,Hadley,Companies House /officers,2026-09-13
BEEYU LTD,16818906,Stephanie Doig,Stephanie,Companies House /officers,2026-09-13
STUDIO BEECHWOOD LTD,16820509,Cheri Corbett,Cheri,Companies House /officers,2026-09-13
BREEZY INVESTMENTS LIMITED,16800813,Thomas Campbell Thorpe,Thomas,Companies House /officers,2026-09-13
BEE CONNECTED MARKETING LTD,16772333,Lauren Ellise Bergin,Lauren,Companies House /officers,2026-09-13
WEHEALTH ORIENTAL LTD,16823882,Hoi Yin Tang,Hoi,Companies House /officers,2026-09-13
FRAMEQUAKE LTD,16765923,Denise Jane Austin,Denise,Companies House /officers,2026-09-13
SAINTS LOFTS LTD,16790487,Jason James Murphy,Jason,Companies House /officers,2026-09-13
LAWBROS PRESTIGE LTD,16800856,Dury Burdis,Dury,Companies House /officers,2026-09-13
PAWBLOOMRESIN LTD,16795244,Thi Hong Nguyen,Thi,Companies House /officers,2026-09-13
MOTORCYCLE PITSTOP LTD,16797235,Neil Carn,Neil,Companies House /officers,2026-09-13
AWR PROJECTS LTD,16817784,Adam William Roberts,Adam,Companies House /officers,2026-09-13
EPS.GROUP SERVICES LTD,16758970,David Jonathan Ketley,David,Companies House /officers,2026-09-13
SOLIEA AND BEAUX HOME DECOR LTD,16818724,Jayshree Patel,Jayshree,Companies House /officers,2026-09-13
DG DIGITAL CONSULTING LIMITED,16818698,David Graham Callow,David,Companies House /officers,2026-09-13
THE HOPIUM LAB LTD,16823249,Ross Alexander Jones,Ross,Companies House /officers,2026-09-13
COMPUTACENTER GERMANY HOLDINGS LIMITED,16823580,Karen Linda McInerney,Karen,Companies House /officers,2026-09-13
CHAMPALIMAUD UK OPERATING COMPANY LIMITED,16823322,Nicholas Adam Doherty,Nicholas,Companies House /officers,2026-09-13
RES DEVELOPMENT COMPANY 38 LIMITED,16755437,Rachael Claire Birkwood,Rachael,Companies House /officers,2026-09-13
SAFETY FIRST CONSULTANCY SERVICES LTD,16755494,Edward Joseph Fogarty,Edward,Companies House /officers,2026-09-13
NELSONS JACKHILL LIMITED,16756581,James Smith,James,Companies House /officers,2026-09-13
JANES PLANTS LTD,16758638,Nicholas John Ledingham,Nicholas,Companies House /officers,2026-09-13
BAY TREE VENTURES LIMITED,16821446,David Hall,David,Companies House /officers,2026-09-13
MENTEK-IT LTD,16821286,Pedro Xavier Menezes,Pedro,Companies House /officers,2026-09-13
THE SOCIAL BYRD LIMITED,16774416,Laura Jane Bryant,Laura,Companies House /officers,2026-09-13
PLEXUS FINANCE ADVISORS LIMITED,16775685,Ricky Nathan Shafier,Ricky,Companies House /officers,2026-09-13
MARGARET HOUSE (HERTFORDSHIRE) LIMITED,16772585,Manpreet Singh Haer,Manpreet,Companies House /officers,2026-09-13
TAILWISPCRAFT LTD,16773700,Quang Hung Doan,Quang,Companies House /officers,2026-09-13
BESPOKE AIR SUPPLIES LIMITED,16807508,Christopher James Seymour,Christopher,Companies House /officers,2026-09-13
MARCOE GROUP LTD,16815108,Mark Beresford,Mark,Companies House /officers,2026-09-13
WORLD CLASS CHANGE LEADER LTD,16815091,Jennifer Lyn Bryan,Jennifer,Companies House /officers,2026-09-13
RES DEVELOPMENT COMPANY 40 LIMITED,16755507,Rachael Claire Birkwood,Rachael,Companies House /officers,2026-09-13
SABROSA TAPAS LTD,16769746,Celal Yildirim,Celal,Companies House /officers,2026-09-13
DEBENHAMS OTTAWAY TRUST CORPORATION LIMITED,16779933,Susan Christine Glenholme,Susan,Companies House /officers,2026-09-13
WHISKERFLAREDECOR LTD,16788380,Thi Minh Som Tran,Thi,Companies House /officers,2026-09-13
UNYX AI LTD,16786021,Tal Zohar Avda,Tal,Companies House /officers,2026-09-13
THE DOGRUN FIELD LTD,16788843,Nathan William Stone,Nathan,Companies House /officers,2026-09-13
ALEXANDER ROSS BESPOKE LTD,16797321,Richard Magill,Richard,Companies House /officers,2026-09-13
PJC CARPENTRY AND CONSTRUCTION HERTS LTD,16800109,Patrick Connor,Patrick,Companies House /officers,2026-09-13
TM HAULAGE RECRUITMENT LTD,16761914,Tracy Miller,Tracy,Companies House /officers,2026-09-13
PHARMALOGIKS GROUP LTD,16823385,Ross Alexander Jones,Ross,Companies House /officers,2026-09-13
MBS LAW LTD,16820933,Mariam Altaf,Mariam,Companies House /officers,2026-09-13
COMPUTACENTER GROUP HOLDINGS LIMITED,16821554,Karen Linda McInerney,Karen,Companies House /officers,2026-09-13
COPPERMILL AQUATICS LTD,16775834,Nicholas Robert Bousfield,Nicholas,Companies House /officers,2026-09-13
KILLEAN ENERGY LIMITED,16755429,Rachael Claire Birkwood,Rachael,Companies House /officers,2026-09-13
GLENHEAD SOLAR LIMITED,16755430,Rachael Claire Birkwood,Rachael,Companies House /officers,2026-09-13
