company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
BIKES OF RYE LIMITED,16112662,active,ltd,,,2024-12-02,,2024-12-02,[62090],Unit 1b Focus Four Letchworth Garden City England SG6 2TU,,,
MOPHETH FOODS LIMITED,16113583,active,ltd,,,2024-12-02,,2024-12-02,[56103],13 Flamingo Close Hatfield United Kingdom AL10 9LU,,,
SUNNY ONE PRO LIMITED,16118550,active,ltd,,,2024-12-04,,2024-12-04,[68209],First Floor 7 Viewpoint Office Village Stevenage United Kingdom SG1 2EQ,,,
M5 MAINTENANCE LIMITED,16118019,active,ltd,,,2024-12-04,,2024-12-04,[43290],266-268 High Street Waltham Cross United Kingdom EN8 7EA,,,
AA CASH EXPRESS LTD,16118489,active,ltd,,,2024-12-04,,2024-12-04,[82990, 96090],211 St. Albans Road Watford United Kingdom WD24 5BH,https://aacashexpress.co.uk,info@aacashexpress.co.uk,Confirmed
AESTHETIC MENTOR GROUP LTD,16117426,active,ltd,,,2024-12-04,,2024-12-04,[96040],11 Tates Way Stevenage England SG1 4WP,,,
JOSEPH MORAN MEDIA LTD,16118273,active,ltd,,,2024-12-04,,2024-12-04,[59120],71 Hangar Ruding Watford United Kingdom WD19 5BH,,,
NORTH HERTFORDSHIRE ACADEMY LTD,16128996,active,ltd,,,2024-12-10,,2024-12-10,[85510],Unit 2 Hillside Farm Hillside Lane Ware England SG12 9SH,,,
CHAMPEL LTD,16207239,active,ltd,,,2025-01-24,,2025-01-24,[68100],The Heights Bishops Stortford United Kingdom CM23 2HS,,,
HAB CONSULTANCY LTD,16208916,active,ltd,,,2025-01-27,,2025-01-27,[86900],202 Kings House Lower High Street Watford England WD17 2EH,,,
PURPLE VM PROPERTIES LTD,16209926,active,ltd,,,2025-01-27,,2025-01-27,[68100],Unit 4 Grovelands Hemel Hempstead England HP2 7TE,,,
CREPE TRADING LTD,16125542,active,ltd,,,2024-12-09,,2024-12-09,[47250, 47290],37 Market Place St Albans United Kingdom AL3 5DL,,,
RHB INDUSTRIAL LTD,16214166,active,ltd,,,2025-01-28,,2025-01-28,[68209],11 Greenleaf House Darkes Lane Potters Bar England EN6 1AE,,,
GM ENTERPRISE GROUP LTD,16214530,active,ltd,,,2025-01-28,,2025-01-28,[64209],C/O Goodier, Smith & Watts Devonshire House Borehamwood England WD6 1QQ,,,
ENERVATION LTD,16217140,active,ltd,,,2025-01-29,,2025-01-29,[70229],Sas House Friarswood Kings Langley England WD4 9JB,,,
RKS GLOBAL TRADE LTD,16219896,active,ltd,,,2025-01-30,,2025-01-30,[46380],Unit 2, Watford Metro Centre Watford United Kingdom WD18 9SS,,,
ELEMENT 7 LTD,16216637,active,ltd,,,2025-01-29,,2025-01-29,[82990],3a Chestnut House Shenley England WD7 9AD,,,
S G ASSOCIATES LTD,16216508,active,ltd,,,2025-01-29,,2025-01-29,[70229],65 Knowl Piece Wilbury Way Hitchin England SG4 0TY,,,
BULTRADE CAPITAL LIMITED,16218353,active,ltd,,,2025-01-30,,2025-01-30,[68100],2nd Floor Ashdon House Barnet United Kingdom EN5 5YL,,,
PROTOBUS LTD,16218433,active,ltd,,,2025-01-30,,2025-01-30,[62012, 62020, 70229],C/O Fdca- Office 2, Bennet's House Harpenden England AL5 2HU,,,
BAU DEVELOPMENT LTD,16218494,active,ltd,,,2025-01-30,,2025-01-30,[41100],2nd Floor Ashdon House Barnet United Kingdom EN5 5YL,,,
SIMPLIPROCUREMENT LTD,16219260,active,ltd,,,2025-01-30,,2025-01-30,[47990],1 Meadow View Cottages Ware England SG12 7SW,,,
R&F PARTY HIRE LTD,16221325,active,ltd,,,2025-01-31,,2025-01-31,[77210],8 Clyfton Close Broxbourne United Kingdom EN10 6NX,https://rfpartyhire.co.uk,info@rfpartyhire.co.uk,Confirmed
SANVEST HOLDINGS LIMITED,16221328,active,ltd,,,2025-01-31,,2025-01-31,[64209],31 Metro Centre Dwight Road Watford United Kingdom WD18 9SB,,,
HP BOARDING LIMITED,16234104,active,ltd,,,2025-02-06,,2025-02-06,[96090],Suite 20 Pluto Accountancy New Mead Barn Bishops Stortford United Kingdom CM23 1JG,,,
PADELKING LTD,16234781,active,ltd,,,2025-02-06,,2025-02-06,[43999],Devonshire House Borehamwood England WD6 1QQ,,,
MASKELL HOLDINGS & INVESTMENTS LIMITED,16234196,active,ltd,,,2025-02-06,,2025-02-06,[64209],Top Floor, Leeside Works Stanstead Abbotts United Kingdom SG12 8DL,,,
DAT RAILWAY ENGINEERING SERVICES LTD,16236134,active,ltd,,,2025-02-07,,2025-02-07,[62090],C/O Ascot Drummond Borehamwood United Kingdom WD6 1QQ,,,
RUSSELL UP EVENTS GROUP LIMITED,16239243,active,ltd,,,2025-02-10,,2025-02-10,[77291],12 West Street Ware England SG12 9EE,,,
ACAP SUPPORT SERVICES UK LTD,16239814,active,ltd,,,2025-02-10,,2025-02-10,[82990],C/O Factotum Group Llp The Kinetic Centre Borehamwood England WD6 4PJ,,,
OPTIMUS SPECIALIST CONTRACTORS GROUP LTD,16239896,active,ltd,,,2025-02-10,,2025-02-10,[43390],11 The Beacons Stevenage United Kingdom SG1 6EB,,,
THE NOOK HAMPSTEAD LTD,16239931,active,ltd,,,2025-02-10,,2025-02-10,[56103],Rosedean House Barnet United Kingdom EN5 4DX,,,
GYNEVA LIMITED,16216259,active,ltd,,,2025-01-29,,2025-01-29,[86101, 86220],Braceys Accountants, 18-20 High Street Stevenage United Kingdom SG1 3EJ,,,
TENSION RELEASE RITUAL CO LIMITED,16228473,active,ltd,,,2025-02-04,,2025-02-04,[82990],Belfry House Hertford England SG14 1BP,,,
DACHIES OF LONDON LIMITED,16228336,active,ltd,,,2025-02-04,,2025-02-04,[96090],5 The Close Bushey United Kingdom WD23 3NG,,,
DANIELLE COX WELLBEING LIMITED,16229513,active,ltd,,,2025-02-04,,2025-02-04,[96020],Belfry House Hertford England SG14 1BP,,,
ORANGE TREE SOLUTIONS LIMITED,16231875,active,ltd,,,2025-02-05,,2025-02-05,[43290, 43320],83 High Street Hemel Hempstead United Kingdom HP1 3AH,https://orangetreesolutions.co.uk,,Likely
HAIR ESSENTIALS BY REDZ LTD,16205536,active,ltd,,,2025-01-24,,2025-01-24,[96020],2nd Floor, Unicorn House Potters Bar United Kingdom EN6 1TL,,,
A&M RESIDENTIAL PROPERTIES LTD,16231053,active,ltd,,,2025-02-05,,2025-02-05,[68100, 68201, 68209, 68320],Braceys Accountants (Medical) Ltd, 18-20 High Street Stevenage United Kingdom SG1 3EJ,,,
GLOST GLAZE LIMITED,16232596,active,ltd,,,2025-02-05,,2025-02-05,[47789],C/O Pas Accountants Ltd Bushey England WD23 3HE,https://glost-glaze.com,hello@glost-glaze.com,Likely
FULLER STRATEGIC HOLDINGS LIMITED,16233003,active,ltd,,,2025-02-05,,2025-02-05,[64209],Pendragon House St. Albans England AL1 1LJ,,,
TOMI FACADES LTD,16233259,active,ltd,,,2025-02-05,,2025-02-05,[84250],16 Pulleys Close Hemel Hempstead United Kingdom HP1 2PG,,,
PARFUMS XAVIER LAURENT LIMITED,16179280,active,ltd,,,2025-01-13,,2025-01-13,[99999],137 Watling Street Radlett England WD7 7NQ,https://xavierlaurent.com,info@xavierlaurent.com,Likely
THAI BARNET LTD,16241881,active,ltd,,,2025-02-10,,2025-02-10,[56101],72 East Barnet Road Barnet United Kingdom EN4 8RQ,https://www.thaihousenewbarnet.co.uk,,Confirmed
41 SOUTH PROPERTY LIMITED,16244163,active,ltd,,,2025-02-11,,2025-02-11,[68100],1st Floor, Spitalfields House Borehamwood England WD6 2FX,,,
MAPLERIDGE CARE LTD,16176635,active,ltd,,,2025-01-10,,2025-01-10,[87200, 87900],4 Holbein Terrace Barnet United Kingdom EN5 1FE,,,
ALTA VISTA CONSULTANCY LTD,16172172,active,ltd,,,2025-01-08,,2025-01-08,[70229, 82990],Rocklands Berkhamsted England HP4 2PF,,,
DIRMAK LTD.,16179954,active,ltd,,,2025-01-13,,2025-01-13,[71129],5 Lea Court Harpenden United Kingdom AL5 4HJ,,,
MEAL PREP GROUP LTD,16179769,active,ltd,,,2025-01-13,,2025-01-13,[56290],Francis House Barnet United Kingdom EN5 5RN,,,
ELEMENTS DEMOS LTD,16180390,active,ltd,,,2025-01-13,,2025-01-13,[90010],Unit 4 Grovelands Hemel Hempstead England HP2 7TE,,,
ERP RC DISTRIBUTION LTD,16181824,active,ltd,,,2025-01-14,,2025-01-14,[47650],5 Wroslyn Road Witney United Kingdom OX29 8HJ,https://www.erpdistribution.co.uk,sales@erpdistribution.co.uk,Confirmed
ZERAY LTD,16183843,active,ltd,,,2025-01-14,,2025-01-14,[56101],3 Corn Exchange Bishop's Stortford United Kingdom CM23 3UU,,,
L H COOK PLUMBING, HEATING & RENEWABLES LIMITED,16179781,active,ltd,,,2025-01-13,,2025-01-13,[43220],Unit 9a, Hadham Industrial Estate Hertfordshire United Kingdom SG11 2DY,https://lhcook.co.uk,sales@lhcook.co.uk,Confirmed
VIBRANT SMUDGE LTD,16181878,active,ltd,,,2025-01-14,,2025-01-14,[74100, 90030],7 Mulready Walk Hemel Hempstead United Kingdom HP3 9FS,,,
ELXI LIMITED,16182760,active,ltd,,,2025-01-14,,2025-01-14,[49320],201b.3 Cardinal Point Rickmansworth England WD3 1RE,,,
