company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
ENERLYZE CONSULTING LTD,16895110,active,ltd,,,2025-12-07,,2025-12-07,"[70229, 74901]",The Counting House Tring United Kingdom HP23 5TE,,,
MDP COMMUNICATIONS LTD,16929101,active,ltd,,,2025-12-23,,2025-12-23,[82990],59 The Enterprise Centre Potters Bar England EN6 3DQ,,,
AP SD SIXTY FIVE LIMITED,16917212,active,ltd,,,2025-12-17,,2025-12-17,[47730],3 Loyd Court Russet Drive St. Albans United Kingdom AL4 0AZ,,,
LLJ SURVEYORS LIMITED,16901484,active,ltd,,,2025-12-10,,2025-12-10,[82990],1st Floor 2 Station Close Potters Bar England EN6 1TL,,,
CBMM CARS LTD,16891318,active,ltd,,,2025-12-04,,2025-12-04,[41202],8 Leavesden Road Watford WD24 5ED,,,
QDL LIMITED,16889472,active,ltd,,,2025-12-03,,2025-12-03,[62012],Catalyst House Arial Ltd Elstree United Kingdom WD6 3SY,,,
ORCHESTRA (HALSTEAD) LTD,16900614,active,ltd,,,2025-12-09,,2025-12-09,[41100],Bridge House Hatfield United Kingdom AL10 0SP,,,
KDB SCAFFOLDING LTD,16904506,active,ltd,,,2025-12-11,,2025-12-11,[82990],Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP,,,
KENILWORTH PROPERTY INVESTMENTS LTD,16904814,active,ltd,,,2025-12-11,,2025-12-11,[68100],22 The Close Harpenden United Kingdom AL5 3NB,,,
KANER HOSPITALITY LIMITED,16904920,active,ltd,,,2025-12-11,,2025-12-11,"[56101, 56102]",81 Turners Hill Waltham Cross England EN8 9BD,,,
OPTIMUM CARE MEDICAL LTD,16905914,active,ltd,,,2025-12-12,,2025-12-12,[86900],"Unit 4, Stirling Court Yard Borehamwood England WD6 2FX",,,
BUSINESS SOLUTION STRATEGY LIMITED,16906019,active,ltd,,,2025-12-12,,2025-12-12,[70229],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE,,,
UK STUDY BRIDGE ACADEMY LTD,16906752,active,ltd,,,2025-12-12,,2025-12-12,[85590],Rear Of 17 Plantagenet Road Barnet United Kingdom EN5 5JG,,,
CR5 CONSULTING LTD,16902064,active,ltd,,,2025-12-10,,2025-12-10,[82990],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
DICI HOLDINGS LTD,16886015,active,ltd,,,2025-12-02,,2025-12-02,[64209],1 Tower House Hoddesdon England EN11 8UR,,,
NETWORKNERDS LTD,16903878,active,ltd,,,2025-12-11,,2025-12-11,[71122],Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP,,,
