company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
BIRCH & BLACKTHORN LTD,17053283,active,ltd,,,2026-02-25,,2026-02-25,[73110],Suite 910 86 Bancroft Hitchin United Kingdom SG5 1NQ,https://birchandblackthorn.co.uk,,Confirmed
TOWNSEND BILLBOARDS LIMITED,17041450,active,ltd,,,2026-02-18,,2026-02-18,[82990],171 Cleveland Way Stevenage England SG1 6BX,,,
T&S RICHARDSON INVESTMENT COMPANY LIMITED,17053952,active,ltd,,,2026-02-25,,2026-02-25,[96090],18 Greyfriars Ware England SG12 0XW,http://www.tsrichardson.com,,Confirmed
ASC CONSTRUCTION LIMITED,17056366,active,ltd,,,2026-02-26,,2026-02-26,[43999],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
NOMION LTD,17044046,active,ltd,,,2026-02-19,,2026-02-19,[62020],7a High Street Barnet United Kingdom EN5 5UE,,,
CLARVIS LIMITED,17048514,active,ltd,,,2026-02-23,,2026-02-23,[68209],Suite 2c Brosnan House Potters Bar United Kingdom EN6 1BW,,,
SCAC DEVELOPMENTS LIMITED,17053259,active,ltd,,,2026-02-25,,2026-02-25,[41100],55 Willian Road Hitchin England SG4 0LS,,,
DRB REFURBISHMENT LTD,17052598,active,ltd,,,2026-02-24,,2026-02-24,"[41202, 42990, 43290, 43999]",2 Leaforis Road Cheshunt England EN7 6NB,,,
BLUEROCK HOUSING CIC,17055757,active,ltd,community-interest-company,,2026-02-25,,2026-02-25,[55900],207 Crescent Road Barnet United Kingdom EN4 8SB,,,
MARLOO UK LIMITED,17045732,active,ltd,,,2026-02-20,,2026-02-20,[62012],Arquen House 4-6 St. Albans England AL3 4PQ,https://www.marloo.com/uk,,Confirmed
CONNIFERS PROPERTIES LIMITED,17047822,active,ltd,,,2026-02-23,,2026-02-23,[68209],1st Floor 2 Station Close Potters Bar United Kingdom EN6 1TL,,,
BELROK LTD,17055349,active,ltd,,,2026-02-25,,2026-02-25,[70229],10 Maple Park Hoddesdon United Kingdom EN11 0EX,,,
SARAH & ANNA ROWDEN LTD,17058458,active,ltd,,,2026-02-26,,2026-02-26,[55100],West Clayton Business Centre Chorleywood United Kingdom WD3 5EX,,,
GREENVIEW HEALTHCARE PROPERTIES LIMITED,17051333,active,ltd,,,2026-02-24,,2026-02-24,[68209],1st Floor 2 Station Close Potters Bar United Kingdom EN6 1TL,https://greenviewhealthcaregroup.co.uk,,Likely
THE VILLAGE PRE-SCHOOL LC LTD,17054665,active,ltd,,,2026-02-25,,2026-02-25,[85100],11 Perham Way London Colney United Kingdom AL2 1LB,,denymoules@yahoo.com,Confirmed
ALMIRA WF42 LIMITED,17054969,active,ltd,,,2026-02-25,,2026-02-25,[68209],81 Turners Hill Waltham Cross United Kingdom EN8 9BD,,,
CARATACUS CONSULTING LIMITED,17056095,active,ltd,,,2026-02-26,,2026-02-26,[62020],Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP,,,
JFM MEDIA CONSULTING LTD,17049805,active,ltd,,,2026-02-24,,2026-02-24,[70229],56 Haslemere Avenue Barnet England EN4 8EU,,,
95 EATON PLACE LTD,17050216,active,ltd,,,2026-02-24,,2026-02-24,[82990],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
THE ZENNITY ROOM LIMITED,17048714,active,ltd,,,2026-02-23,,2026-02-23,[96020],West Clayton Business Centre Chorleywood United Kingdom WD3 5EX,,,
LOLYS'S PEARLS LIMITED,17059642,active,ltd,,,2026-02-27,,2026-02-27,[43341],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
LAT CAPITAL LTD,17059634,active,ltd,,,2026-02-27,,2026-02-27,[68100],Unit 1 Knowl Piece Wilbury Way Hitchin United Kingdom SG4 0TY,,,
LOGHO PROFESSIONAL SERVICES LIMITED,17023533,active,ltd,,,2026-02-10,,2026-02-10,[70229],"C/O Hillier Hopkins Llp First Floor, Radius House Watford United Kingdom WD17 1HP",,,
ARUN RESTORATIONS LTD,17059053,active,ltd,,,2026-02-27,,2026-02-27,[45200],Unit 5 Lower Gower Road North Hertfordshire United Kingdom SG8 5EA,,,
HUTTON GROVE LTD,17059084,active,ltd,,,2026-02-27,,2026-02-27,"[68100, 68209]",8 Burkes Parade Beaconsfield England HP9 1NN,,,
TNT FX LTD,17060651,active,ltd,,,2026-02-27,,2026-02-27,[59111],1st Floor Office Tring United Kingdom HP23 5AL,,,
MZ FIFTY NINE LIMITED,17060544,active,ltd,,,2026-02-27,,2026-02-27,[68100],Langley House Borehamwood United Kingdom WD6 4RT,,,
MZ BISHOP LIMITED,17060542,active,ltd,,,2026-02-27,,2026-02-27,[68100],Langley House Borehamwood United Kingdom WD6 4RT,,,
THE NEJ LTD,17021538,active,ltd,,,2026-02-09,,2026-02-09,"[68100, 68209]",Unit 5 2b Theobald Street Hertfordshire England WD6 4SE,,,
ON SOLID GROUND SERVICES LTD,17007308,active,ltd,,,2026-02-02,,2026-02-02,"[59111, 59113]",11 Greenleaf House Darkes Lane Potters Bar United Kingdom EN6 1AE,,,
ASHLYNS MEDICAL LTD,17043557,active,ltd,,,2026-02-19,,2026-02-19,[86210],24 Ashlyns Road Berkhamsted England HP4 3BN,,,
SOFTWARE AS A SERVICE LTD,17043602,active,ltd,,,2026-02-19,,2026-02-19,"[62090, 63110, 63120]",10 Prospect Place Welwyn England AL6 9EW,,,
CONNIFERS CARE HOLDINGS CO LTD,17043729,active,ltd,,,2026-02-19,,2026-02-19,[64209],"1st Floor 2 Station Close Potters Bar United Kingdom EN6 1TL",https://www.conniferscare.co.uk,teresa@conniferscare.co.uk,Confirmed
TÅLE CREATIVE LTD,17032418,active,ltd,,,2026-02-13,,2026-02-13,[90020],"2nd Floor, Unicorn House Potters Bar United Kingdom EN6 1TL",https://www.talecreative.org,,Confirmed
RECBOS FUNDING SOLUTIONS LTD,17041674,active,ltd,,,2026-02-18,,2026-02-18,[82990],134 London Road Knebworth United Kingdom SG3 6EY,https://recbos.co.uk/funding-solutions,info@recbos.co.uk,Confirmed
CANINE DIP AND DIVE HERTFORD LIMITED,17010173,active,ltd,,,2026-02-03,,2026-02-03,[82990],19 - 21 Middle Row Stevenage United Kingdom SG1 3AW,https://www.caninedipanddiveclub.co.uk,,Confirmed
IMPACT FILM STUDIOS LIMITED,17007547,active,ltd,,,2026-02-02,,2026-02-02,[59113],"1st Floor, Spitalfields House Borehamwood England WD6 2FX",,,
NORA HOMES LIMITED,17009064,active,ltd,,,2026-02-03,,2026-02-03,[68209],"Office 121, 186 St Albans Road Watford United Kingdom WD24 4AS",,,
PRODUCT MANAGEMENT AS A SERVICE LTD,17010803,active,ltd,,,2026-02-03,,2026-02-03,[62090],10 Prospect Place Welwyn England AL6 9EW,,,
MFA HALA LTD,17025625,active,ltd,,,2026-02-11,,2026-02-11,[56101],81 Turners Hill Waltham Cross United Kingdom EN8 9BD,,,
JK ELECSERV LIMITED,17025692,active,ltd,,,2026-02-11,,2026-02-11,[43210],"The Chestnuts, Room 2 Brewers End Bishop's Stortford United Kingdom CM22 6QJ",,,
NORTH BARN ENTERPRISES LIMITED,17026499,active,ltd,,,2026-02-11,,2026-02-11,[96090],D2 The Courtyard Hatfield Road St. Albans United Kingdom AL4 0LA,,,
