company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
VOLNA CAPITAL LIMITED,17252168,active,ltd,,,2026-06-01,,2026-06-01,[70229],271 High Street Berkhamsted United Kingdom HP4 1AA,https://volna.capital,,Confirmed
TC GAS UTILITIES LTD,17253913,active,ltd,,,2026-06-01,,2026-06-01,[42990],Lucas House Farm Crouch Lane Waltham Cross England EN7 6TH,,,
BONSORI LIMITED,17254003,active,ltd,,,2026-06-01,,2026-06-01,[62090],147a High Street Waltham Cross England EN8 7AP,https://bonsori.com,operations@bonsori.com,Confirmed
WHITE CEDAR LTD,17254520,active,ltd,,,2026-06-01,,2026-06-01,[68209],The Bungalow Buntingford England SG9 0NL,,,
LEE FINANCIAL SERVICES LTD,17255113,active,ltd,,,2026-06-02,,2026-06-02,[64922],Office 4 1st Floor Watford United Kingdom WD17 2DJ,,,
BHUVA CLINICAL SERVICES LIMITED,17251546,active,ltd,,,2026-06-01,,2026-06-01,[86230],Unit 4, Stirling Court Yard Borehamwood England WD6 2FX,,,
BEACONSFIELD CLINICAL SERVICES LIMITED,17255733,active,ltd,,,2026-06-02,,2026-06-02,[86230],Unit 4, Stirling Court Yard Borehamwood England WD6 2FX,,,
G. AUSTIN ROOFING LTD,17256082,active,ltd,,,2026-06-02,,2026-06-02,[43910],West Clayton Business Centre Chorleywood United Kingdom WD3 5EX,,,
DS HOME TEXTILES LTD,17256431,active,ltd,,,2026-06-02,,2026-06-02,[47510, 47599, 47910],65 Claymore Hemel Hempstead United Kingdom HP2 6LN,,,
FTT PROPERTY LIMITED,17256758,active,ltd,,,2026-06-02,,2026-06-02,[68209],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
KEROM LTD,17256966,active,ltd,,,2026-06-02,,2026-06-02,[56103],6a High Street Hertfordshire England SG9 9AG,,,
VAYRA 3 LTD,17301829,active,ltd,,,2026-06-25,,2026-06-25,[87300],1st Floor, 5 Century Court Watford England WD18 9PX,https://vayra.co.uk,info@vayra.co.uk,Confirmed
ELEVATE AI CYBER SOLUTIONS LTD,17306224,active,ltd,,,2026-06-29,,2026-06-29,[62020, 62090, 70229],4th Floor Radius House Watford England WD17 1HP,,,
REGAL CHOICE PROPERTY LTD,17306096,active,ltd,,,2026-06-29,,2026-06-29,[68100, 68209],79 St. Peters Street St. Albans United Kingdom AL1 3EG,,,
CRATON HOLDING LTD,17306535,active,ltd,,,2026-06-29,,2026-06-29,[64209],2 Tower House Hoddesdon United Kingdom EN11 8UR,,,
SIVE CONSULTING LIMITED,17305021,active,ltd,,,2026-06-28,,2026-06-28,[70229, 78300],31 Field Lane Letchworth Garden City United Kingdom SG6 3LF,,,
VAYRA PROPCO LTD,17306633,active,ltd,,,2026-06-29,,2026-06-29,[64209],1st Floor, 5 Century Court Watford England WD18 9PX,https://vayra.co.uk,info@vayra.co.uk,Confirmed
CP GROUP HOLDINGS LIMITED,17310882,active,ltd,,,2026-06-30,,2026-06-30,[64209],Cinnamond House Baldwins Lane Rickmansworth England WD3 3RT,http://cpgroupholdings.co.uk,,Likely
TM4A LTD,17291780,active,ltd,,,2026-06-21,,2026-06-21,[62020, 62090, 63120],5 Alder Gate Watford United Kingdom WD18 8AT,,,
ZOVELY VENTURES LIMITED,17285332,active,ltd,,,2026-06-19,,2026-06-19,[46499, 46900, 47990],Self Store 14, Ashley House Vale Industrial Park Watford, Hertfordshire United Kingdom WD18 9QP,,,
CURATED HOLDINGS LTD,17273245,active,ltd,,,2026-06-10,,2026-06-10,[64209],159 High Street Barnet Hertfordshire United Kingdom EN5 5SU,,,
JCL7 MANAGEMENT LIMITED,17273347,active,ltd,,,2026-06-10,,2026-06-10,[64209],Eastway Enterprise Centre Hitchin England SG5 1EH,,,
