company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
OPULIZE GLOBAL LIMITED,17201293,active,ltd,,,2026-05-06,,2026-05-06,[64209],1st Floor, Spitalfields House Borehamwood England WD6 2FX,,,
KERN E-COMMERCE LTD,17201959,active,ltd,,,2026-05-06,,2026-05-06,[47190],Building 15 Gateway 1000 Stevenage United Kingdom SG1 2FP,,,
JPDKH PROPERTIES LTD,17203912,active,ltd,,,2026-05-07,,2026-05-07,[68100, 68209, 68320],6 Berwick Road, Borehamwood, United Kingdom WD6 4BQ,,,
SWANSLEY PROPERTIES LIMITED,17209848,active,ltd,,,2026-05-11,,2026-05-11,[68100, 68209],Unit 14 Hoddesdon Enterprise Centre Hoddesdon United Kingdom EN11 0FJ,,,
SIDE CHASE LTD,17214359,active,ltd,,,2026-05-12,,2026-05-12,[41100, 68100],215a Cuffley Place Sopers Road Potters Bar England EN6 4RY,,,
CASMON INVESTMENTS LIMITED,17202445,active,ltd,,,2026-05-06,,2026-05-06,[64999],Unit 4 Grovelands Hemel Hempstead England HP2 7TE,,,
TA NEWQUAY LIMITED,17209936,active,ltd,,,2026-05-11,,2026-05-11,[82990],Suites 10 - 12 The Hive, Bell Lane Stevenage United Kingdom SG1 3HW,,,
BEH LONDON LIMITED,17211007,active,ltd,,,2026-05-11,,2026-05-11,[41100],103 High Street Waltham Cross United Kingdom EN8 7AN,,,
DSLLJE LTD,17209343,active,ltd,,,2026-05-11,,2026-05-11,[78300],5 Elstree Gate Borehamwood United Kingdom WD6 1JD,,,
AARYA HOSPITALITY LTD,17210336,active,ltd,,,2026-05-11,,2026-05-11,[56102, 56103],78 Queens Road Watford United Kingdom WD17 2LA,,,
OPEN ON LIMITED,17207118,active,ltd,,,2026-05-08,,2026-05-08,[59111, 59112],1 Brookmans Avenue Hatfield United Kingdom AL9 7QH,,,
BIDDY'S MEDICALS LTD,17209811,active,ltd,,,2026-05-11,,2026-05-11,[86101, 86210, 86900],14 Tudor Close Hatfield United Kingdom AL10 9EJ,,,
ECTON PROPERTY COMPANY LIMITED,17211347,active,ltd,,,2026-05-11,,2026-05-11,[68100],Burnett House Lakeview Court Huntingdon United Kingdom PE29 6UA,,,
NDN MEDIA LTD,17214584,active,ltd,,,2026-05-12,,2026-05-12,[58142],Rae House Bishops Stortford United Kingdom CM23 3BT,https://www.mobileeurope.co.uk,,Confirmed
CV CONSULTING SERVICES LTD,17218259,active,ltd,,,2026-05-13,,2026-05-13,[70229],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE,,,
ALBANY LEADERSHIP LTD,17219098,active,ltd,,,2026-05-14,,2026-05-14,[99999],65 Knowl Piece Wilbury Way Hitchin United Kingdom SG4 0TY,,,
JWD HEALTH LIMITED,17219635,active,ltd,,,2026-05-14,,2026-05-14,[96040],Suite 2c Brosnan House Potters Bar United Kingdom EN6 1BW,,,
GKK AXIOM RESEARCH LTD,17222510,active,ltd,,,2026-05-15,,2026-05-15,[58110, 58141, 72190, 74909],159 High Street Barnet Hertfordshire United Kingdom EN5 5SU,,,
GOODY RED RIVER LIMITED,17216674,active,ltd,,,2026-05-13,,2026-05-13,[74990],Manufactory House Hertford England SG14 1BP,,,
OAKLANDS EDUCATION SHARED SERVICES LTD,17216699,active,ltd,,,2026-05-13,,2026-05-13,[82990],Oaklands College St Albans Campus St Albans United Kingdom AL4 0JA,https://www.oaklands.ac.uk,,Confirmed
SH PROPERTY ASSETS LIMITED,17217104,active,ltd,,,2026-05-13,,2026-05-13,[68209],40a Manor Road Potters Bar United Kingdom EN6 1DQ,,,
Q HEARTS LONDON LTD,17223030,active,ltd,,,2026-05-15,,2026-05-15,[96090],2nd Floor, Unicorn House Potters Bar England EN6 1TL,https://www.qhearts.co.uk,,Likely
QUEENSBURY ST IPPOLYTS LIMITED,17217789,active,ltd,,,2026-05-13,,2026-05-13,[41202, 68209],Broad House Old Hatfield England AL9 5BG,,,
L'OFFICINE LTD,17222301,active,ltd,,,2026-05-15,,2026-05-15,[74100],C/O Goodier Smith & Watts Devonshire House Borehamwood England WD6 1QQ,,,
AUTOIDEAL UK LTD,17223514,active,ltd,,,2026-05-15,,2026-05-15,[63110, 73110],113-115 Codicote Road Welwyn United Kingdom AL6 9TY,,,
CASTLE BAKE LTD,17223506,active,ltd,,,2026-05-15,,2026-05-15,[10710],2nd Floor, Unicorn House Potters Bar England EN6 1TL,,,
BW SERVICES LIMITED,17230755,active,ltd,,,2026-05-19,,2026-05-19,[59111],1st Floor Office Tring United Kingdom HP23 5AL,,,
RISE ACCOUNTANCY SOLUTIONS LTD,17233799,active,ltd,,,2026-05-20,,2026-05-20,[69201],Units 11 & 12 Baldock Industrial Estate Baldock United Kingdom SG7 6NG,,,
BLOSSOM HAUS LTD,17233202,active,ltd,,,2026-05-20,,2026-05-20,[47910],57 Markwick Avenue Cheshunt Waltham Cross United Kingdom EN8 9FP,,,
ALPHA MANAGEMENT HOLDINGS LTD,17228637,active,ltd,,,2026-05-19,,2026-05-19,[64209],Top Floor, Leeside Works Stanstead Abbotts United Kingdom SG12 8DL,,,
MA PROPERTIES GROUP LTD,17226174,active,ltd,,,2026-05-18,,2026-05-18,[68100, 68209],Ford Rhodes- Rowan House Cheshunt England EN8 9SP,,,
MAJESTIC DAWN PROPERTIES LIMITED,17226181,active,ltd,,,2026-05-18,,2026-05-18,[68320],103 High Street Waltham Cross United Kingdom EN8 7AN,,,
CAGATAY PROPERTY LTD,17226378,active,ltd,,,2026-05-18,,2026-05-18,[68100, 68209],81 Turners Hill Waltham Cross England EN8 9BD,,,
