company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
MASTERMO PROPERTIES LIMITED,16821491,active,ltd,,,2025-10-30,,2025-10-30,"[68100, 68209]",84 Walsingham Close Hatfield England AL10 0RR,,,
VELOCITY COMMUNICATIONS LTD,16805907,active,ltd,,,2025-10-23,,2025-10-23,[61100],Tyttenhanger House St Albans United Kingdom AL4 0PG,,,
WHOLESOME FINE FOODS LTD,16800371,active,ltd,,,2025-10-21,,2025-10-21,"[46390, 47810]",Unit 1d Tewin Court Industrial Estate Welwyn Garden City United Kingdom AL7 1AU,,,
VOSSER ASSOCIATES LIMITED,16820359,active,ltd,,,2025-10-30,,2025-10-30,[74902],Unit 4  The Woodyard Knebworth Park Knebworth United Kingdom SG3 6PY,,,
VERISURA LTD,16814498,active,ltd,,,2025-10-28,,2025-10-28,[66220],11 Greenleaf House Darkes Lane Potters Bar United Kingdom EN6 1AE,,,
HODDESDON RECOVERY LTD,16781716,active,ltd,,,2025-10-13,,2025-10-13,[70229],Belfry House Hertford England SG14 1BP,,,
A-TECH SERVICE CENTRE LTD,16797319,active,ltd,,,2025-10-20,,2025-10-20,[45200],Unit 13 South Mundells Welwyn Garden City England AL7 1EP,,,
OXHEY TRADING LTD,16759610,active,ltd,,,2025-10-02,,2025-10-02,"[46499, 46900, 47990]",123 Little Oxhey Lane Watford England WD19 5HJ,,,
REEVES BENEDICT LTD,16761036,active,ltd,,,2025-10-03,,2025-10-03,[66220],Unit 13a Church End Farm Church End Ware England SG11 2DY,,,
SUPREVA CONSTRUCTION LIMITED,16763345,active,ltd,,,2025-10-04,,2025-10-04,[41202],Flat 2 24 Wren Crescent Bushey United Kingdom WD23 1AN,,,
JAMIDDLETONPROPERTY LIMITED,16764868,active,ltd,,,2025-10-06,,2025-10-06,[68209],Flat F Manor Of The Rose Northwood United Kingdom HA6 2HT,,,
