company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
SHEEHY VISUALS LTD,16975201,active,ltd,,,2026-01-20,,2026-01-20,[59112, 74202],7 Coningsby Bank St. Albans England AL1 2NX
HEIGHT AND HUSTLE LIMITED,16976543,active,ltd,,,2026-01-20,,2026-01-20,[73110],C/O Expertax Limited Watford United Kingdom WD17 1JJ
GST PONDS & LANDSCAPING LIMITED,16970712,active,ltd,,,2026-01-19,,2026-01-19,[71112, 81300, 91040],Unit 2 32-34 Station Close Potters Bar England EN6 1TL
CONTRACT STRATEGY LTD,16983306,active,ltd,,,2026-01-23,,2026-01-23,[62020, 70229],Building 1 St Cross Chambers Hoddesdon United Kingdom EN11 8LQ
VILAM GROUP UK LTD,16975290,active,ltd,,,2026-01-20,,2026-01-20,[70229],223 St. Albans Road Watford United Kingdom WD24 5BH
PREMIER BODY REPAIRS LIMITED,16976430,active,ltd,,,2026-01-20,,2026-01-20,[45200],Belfry House Hertford England SG14 1BP
DP MOTORS ST ALBANS LTD,16981475,active,ltd,,,2026-01-22,,2026-01-22,[45200],Wren House St Albans United Kingdom AL1 1NG
GOLAH INVESTMENTS LIMITED,16978751,active,ltd,,,2026-01-21,,2026-01-21,[64303],Broad House Old Hatfield England AL9 5BG
CENNA CONSULTANCY LIMITED,16976804,active,ltd,,,2026-01-21,,2026-01-21,[70229],C/O Hillier Hopkins Llp First Floor, Radius House Watford United Kingdom WD17 1HP
MITCHELSON CONSULTANCY SERVICES LIMITED,16977014,active,ltd,,,2026-01-21,,2026-01-21,[70229],147a High Street Waltham Cross England EN8 7AP
NB PRIVATE TUITION LTD,16977031,active,ltd,,,2026-01-21,,2026-01-21,[85590],147a High Street Waltham Cross England EN8 7AP
HAUXBOURN HOMES LTD,16977455,active,ltd,,,2026-01-21,,2026-01-21,[68209],Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP
DUMAN PVT LTD,16977928,active,ltd,,,2026-01-21,,2026-01-21,[52103, 52219, 77110, 82990],223 St. Albans Road Watford United Kingdom WD24 5BH
KMR RURAL LIMITED,16979009,active,ltd,,,2026-01-21,,2026-01-21,[01430],64 Wilbury Way Hitchin United Kingdom SG4 0TP
TITUS BEAUCHAMP LIMITED,16993090,active,ltd,,,2026-01-27,,2026-01-27,[64304],3 Martinfield Business Centre Welwyn Garden City England AL7 1HG
JACOVENT LIMITED,16996066,active,ltd,,,2026-01-28,,2026-01-28,[25990],Grenville House Broxbourne England EN10 7DH
ANGEL LANE INVESTMENTS LTD,16998391,active,ltd,,,2026-01-29,,2026-01-29,[68209],1st Floor, Spitalfields House Borehamwood England WD6 2FX
K PROPERTIES 208 LTD,16998581,active,ltd,,,2026-01-29,,2026-01-29,[68100],Rear Of 17 Plantagenet Road Barnet United Kingdom EN5 5JG
ENDSWELL CONSULTING LIMITED,17000560,active,ltd,,,2026-01-30,,2026-01-30,[62020],C/O Ascot Drummond Devonshire House Borehamwood United Kingdom WD6 1QQ
A1 GOLF CONSULTANCY LIMITED,16990965,active,ltd,,,2026-01-27,,2026-01-27,[70229],A1 Golf Activity Centre, Arkley United Kingdom EN5 3HW
ACTIVE8 MULTI-SPORTS LIMITED,16993525,active,ltd,,,2026-01-28,,2026-01-28,[88910, 93120],Grenville House Broxbourne England EN10 7DH
LAND INVEST 8 LIMITED,16994176,active,ltd,,,2026-01-28,,2026-01-28,[41100, 68100],215a Cuffley Place Sopers Road Potters Bar England EN6 4RY
KIMS RESTAURANT LIMITED,16995746,active,ltd,,,2026-01-28,,2026-01-28,[56302],Langley House Borehamwood United Kingdom WD6 4RT
PSP ENGINEERING LTD,17001475,active,ltd,,,2026-01-30,,2026-01-30,[64209],Suite 7a Building 6, Croxley Park Watford United Kingdom WD18 8YH
INSIDE SOURCING LTD,16991212,active,ltd,,,2026-01-27,,2026-01-27,[47990],5 Yeomans Court Hertford United Kingdom SG13 7HJ
SGH OVERSEAS LIMITED,16990262,active,ltd,,,2026-01-27,,2026-01-27,[90010],A1 Golf Activity Centre, Arkley United Kingdom EN5 3HW
HILLJGJZ CONSULTING LTD,16991050,active,ltd,,,2026-01-27,,2026-01-27,[70229],6 Gilpin Green Harpenden United Kingdom AL5 5NR
41 AND 41A PARK STREET LIMITED,16992216,active,ltd,,,2026-01-27,,2026-01-27,[98000],Estate Office Hatfield Park United Kingdom AL9 5NB
EVERLUMEX LTD,16995418,active,ltd,,,2026-01-28,,2026-01-28,[47750, 47910],Unit 17 Orbital 25 Business Park Watford United Kingdom WD18 9DA
MARKATE LTD,16994990,active,ltd,,,2026-01-28,,2026-01-28,[45200],4 Grovelands Hemel Hempstead United Kingdom HP2 7TE
LAND INVEST 12 LIMITED,17002742,active,ltd,,,2026-01-30,,2026-01-30,[41100, 68100],215a Cuffley Place Sopers Road Potters Bar England EN6 4RY
