company_name,company_number,first_director,first_director_forename,source,retrieved
EUROPEAN SUPERMARKET INVESTMENTS I  LP ATRATO LIMITED,17317902,Guillaume Bertail,Guillaume,Companies House /officers,2026-09-13
(UK) NOVASSAY LIMITED,17320244,George Skouteris,George,Companies House /officers,2026-09-13
TPMG GROUP HOLDINGS LTD,17312730,Giedre Beige,Giedre,Companies House /officers,2026-09-13
NTA PLANNING LIMITED,17322521,Brian Kavanagh,Brian,Companies House /officers,2026-09-13
SPARTAN DARTS LTD,17311995,Nicholas Constantine Kyriacou,Nicholas,Companies House /officers,2026-09-13
SKIN-IQ CLINIC LTD,17315357,Ami Patel,Ami,Companies House /officers,2026-09-13
SUPPORTIVE APPROACH TRAINING LIMITED,17316270,Hayley-May Adams,Hayley-May,Companies House /officers,2026-09-13
VAYRA 5 LTD,17314795,Gideon James Bernstein,Gideon,Companies House /officers,2026-09-13
KASHA GLOBAL LTD,17327584,Aditi Achint Varia,Aditi,Companies House /officers,2026-09-13
BLACK CROW SERVICES LTD,17329537,Hassan Raza Shah,Hassan,Companies House /officers,2026-09-13
LEADING WITH CARE LTD,17340742,Grayce Bartlett,Grayce,Companies House /officers,2026-09-13
TRADEZEN PRIVATE LIMITED,17330621,Istiaque Haque,Istiaque,Companies House /officers,2026-09-13
TOP BINS APPAREL LIMITED,17337842,Jack Dean Bettridge,Jack,Companies House /officers,2026-09-13
VUEON LIMITED,17342647,Jack David Shulman,Jack,Companies House /officers,2026-09-13
KINGS DENTAL TRING LIMITED,17344138,Rishi Shah,Rishi,Companies House /officers,2026-09-13
PACE ARCHITECTURE LONDON LTD,17345881,Benjamin Charles Cox,Benjamin,Companies House /officers,2026-09-13
JRL4 HOLDINGS LIMITED,17355775,Kevin William Keegan,Kevin,Companies House /officers,2026-09-13
BUD HOLDINGS LTD,17360654,Heeru Prem Malkani,Heeru,Companies House /officers,2026-09-13
DELTA COMMUNICATIONS HOLDING LTD,17366454,Matthew Roy Crossland,Matthew,Companies House /officers,2026-09-13
CILLIUMFLUX LTD,17374538,Mohamed Gassoumi,Mohamed,Companies House /officers,2026-09-13
