company_name,company_number,first_director,first_director_forename,source,retrieved
VOLNA CAPITAL LIMITED,17252168,David James Drever,David,Companies House /officers,2026-09-13
BONSORI LIMITED,17254003,Nathaniel Claxton,Nathaniel,Companies House /officers,2026-09-13
VAYRA 3 LTD,17301829,Gideon James Bernstein,Gideon,Companies House /officers,2026-09-13
VAYRA PROPCO LTD,17306633,Gideon James Bernstein,Gideon,Companies House /officers,2026-09-13
CP GROUP HOLDINGS LIMITED,17310882,Faheem Ahmed Miah,Faheem,Companies House /officers,2026-09-13
NIX STUDIO LTD,17266316,Thomas Alexander Howell-Jones,Thomas,Companies House /officers,2026-09-13
TFS PARTNERS LTD,17264656,Ashley James Wilkinson,Ashley,Companies House /officers,2026-09-13
SAHANA ENERGY LTD,17269388,Stephen Scott Lawrence Jr,Stephen,Companies House /officers,2026-09-13
ALIGNEDWORKS LTD,17274696,David William Fitt,David,Companies House /officers,2026-09-13
EVOLT CHARGING LTD,17274427,Steffan John Evans,Steffan,Companies House /officers,2026-09-13
FT LOGIC LIMITED,17281798,Billy Bickell,Billy,Companies House /officers,2026-09-13
DEAD QUIET STUDIO LTD,17297086,Annabelle Atkins,Annabelle,Companies House /officers,2026-09-13
WATFORD SYMPHONY ORCHESTRA PRODUCTIONS LIMITED,17294550,Simon Nicholas Groves,Simon,Companies House /officers,2026-09-13
WATERFORD DEVELOPMENT (PROPERTY) LIMITED,17297411,Richard John Culverhouse,Richard,Companies House /officers,2026-09-13
FISHTANK MAN LTD,17281232,Christopher Palmer,Christopher,Companies House /officers,2026-09-13
SUNSHINE COMMERCIAL CLEANING LIMITED,17285265,Anca Lungu,Anca,Companies House /officers,2026-09-13
THE TEACHING COUPLE LTD,17290212,Daniel Oliver Higgins,Daniel,Companies House /officers,2026-09-13
NEARESTPLANE LIMITED,17253099,Harry Alexander Jonathan Ingram,Harry,Companies House /officers,2026-09-13
BUCKLERSBURY PERIPERI ORIGINAL LTD,17251508,Ali Ahsan Md Muzahid,Ali,Companies House /officers,2026-09-13
CC TECH CONSULTING LTD,17251949,Christopher Krishna Crohan,Christopher,Companies House /officers,2026-09-13
SWEAT STRATEGIES LTD,17274700,Peter Jarrett,Peter,Companies House /officers,2026-09-13
