company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
IMARENEN LTD,17068368,active,ltd,,,2026-03-03,,2026-03-03,[90030],19 Elm Grove Bishop's Stortford United Kingdom CM23 5JB
EASTCOTE PRACTICE LTD,17067804,active,ltd,,,2026-03-03,,2026-03-03,[86230],Unit 4, Stirling Court Yard Borehamwood England WD6 2FX
TRANSAM  KENYA UK LTD,17071263,active,ltd,,,2026-03-04,,2026-03-04,[47749],39 Thorpe Crescent Watford United Kingdom WD19 4LE
MAX TAC LTD,17064064,active,ltd,,,2026-03-02,,2026-03-02,[17290, 46760],Brookmans Park Teleport Hatfield United Kingdom AL9 6NE
NVKS SURFACING LTD,17062844,active,ltd,,,2026-03-02,,2026-03-02,[43330],1st Floor, 5 Century Court Watford England WD18 9PX
IMKA CONSULTING LIMITED,17065450,active,ltd,,,2026-03-02,,2026-03-02,[70229],71 Hangar Ruding Watford United Kingdom WD19 5BH
EZYDINER LTD,17069584,active,ltd,,,2026-03-04,,2026-03-04,[56101],Aspen Park Road Bishop's Stortford United Kingdom CM22 6DF
THREE HAMMERS LIMITED,17063001,active,ltd,,,2026-03-02,,2026-03-02,[68209],9 Cross Way Harpenden England AL5 4RA
QUINTASPHERE SOLUTIONS LIMITED,17067407,active,ltd,,,2026-03-03,,2026-03-03,[63120],81 Turners Hill Waltham Cross England EN8 9BD
MINI WIN GAMES LIMITED,17068796,active,ltd,,,2026-03-03,,2026-03-03,[62011],56 Alzey Gardens Harpenden United Kingdom AL5 5SY
GRIGGS (RADLETT 2) LIMITED,17069360,active,ltd,,,2026-03-04,,2026-03-04,[41100],The Grain Yard, 5 Little Hays Borehamwood England WD6 4DG
CLINIC GROUP HOLDINGS LIMITED,17069380,active,ltd,,,2026-03-04,,2026-03-04,[64209],93-95 High Street Rickmansworth United Kingdom WD3 1EF
MPC STOCKPORT LIMITED,17070607,active,ltd,,,2026-03-04,,2026-03-04,[93120],7-8 Portmill Lane Hitchin England SG5 1DJ
AADRENALIN VEHICLE SERVICES LTD,17070764,active,ltd,,,2026-03-04,,2026-03-04,[45200],Unit 2 Hillside Farm Hillside Lane Ware England SG12 9SH
BANUS BEDS LTD,17062820,active,ltd,,,2026-03-02,,2026-03-02,[96020],West Clayton Business Centre Chorleywood United Kingdom WD3 5EX
ELEV8 SOFTWARE LIMITED,17067267,active,ltd,,,2026-03-03,,2026-03-03,[62012],Unit 1 The Cam Centre Hitchin United Kingdom SG4 0TW
LEMAY HOLDINGS LTD,17074319,active,ltd,,,2026-03-06,,2026-03-06,[64209],The Coach House Sawbridgeworth England CM21 9AE
BRISTOL COMMERCIAL VEHICLES LTD,17078594,active,ltd,,,2026-03-09,,2026-03-09,[45112, 45190],Cooper Hathaway Limited Maple House Potters Bar England EN6 5BS
SWAGAT HARPENDEN LTD,17082286,active,ltd,,,2026-03-10,,2026-03-10,[56103],12 Station Road Harpenden United Kingdom AL5 4SE
MAJISTEC GROVE LIMITED,17074213,active,ltd,,,2026-03-06,,2026-03-06,[68100, 68209],15 Roughwood Close, Watford, Hertfordshire United Kingdom WD17 3HN
MAGICAL DESIGN & INTERNET LTD,17081564,active,ltd,,,2026-03-10,,2026-03-10,[62012, 62090],Suite 1, The Courtyard, The Old Monastery Bishop's Stortford England CM23 2ND
TRUSST GROUP LIMITED,17081991,active,ltd,,,2026-03-10,,2026-03-10,[70229],18-20 High Street Stevenage United Kingdom SG1 3EJ
HITCHIN AND LETCHWORTH PERFORMING ARTS LTD,17072834,active,ltd,,,2026-03-05,,2026-03-05,[90020],42 Romany Close Letchworth Garden City United Kingdom SG6 4JZ
PRACTICE ADVISORY GROUP LTD,17073886,active,ltd,,,2026-03-06,,2026-03-06,[69201, 69202, 69203, 70221],Ellerd House Amenbury Lane Harpenden United Kingdom AL5 2EJ
CLAUGHTONS ESTATE AGENTS LIMITED,17073877,active,ltd,,,2026-03-06,,2026-03-06,[68310],12 Claughton Court St Albans United Kingdom AL4 0AS
STUDIO ENEA LTD,17077549,active,ltd,,,2026-03-09,,2026-03-09,[85590],Unit 2 Hillside Farm Hillside Lane Ware England SG12 9SH
SALLY ASHER NEURO SLT LIMITED,17072613,active,ltd,,,2026-03-05,,2026-03-05,[86900],Suite 306 17 Holywell Hill St Albans United Kingdom AL1 1DT
MALARAJ FLAMSTEAD LIMITED,17082645,active,ltd,,,2026-03-10,,2026-03-10,[56101],Malaraj St Albans United Kingdom AL3 8HQ
4MD DEVCO 1 LIMITED,17083124,active,ltd,,,2026-03-10,,2026-03-10,[41100],C/O Hillier Hopkins Llp First Floor, Radius House Watford United Kingdom WD17 1HP
A. SKARPA LIMITED,17081686,active,ltd,,,2026-03-10,,2026-03-10,[86230],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE
AZZURRI HITCHIN LIMITED,17083331,active,ltd,,,2026-03-10,,2026-03-10,[56102, 56103],7-8 Portmill Lane Hitchin England SG5 1DJ
COUNTRY GUNS LTD,17072854,active,ltd,,,2026-03-05,,2026-03-05,[47990],The Pyghtle Luton Road St. Albans United Kingdom AL3 8QD
AVALON TE ABRE SUS PUERTAS LTD,17077101,active,ltd,,,2026-03-09,,2026-03-09,[79120, 79901],C/O Pas Accountants Ltd 02nd Floor, The Red House Bushey England WD23 3HE
APPLIED VERDICT LTD,17082718,active,ltd,,,2026-03-10,,2026-03-10,[62090, 70229],Suite 1, The Courtyard, The Old Monastery Bishop's Stortford England CM23 2ND
PHJ CONTRACTING LTD,17086073,active,ltd,,,2026-03-11,,2026-03-11,[71122],23 Church Street Rickmansworth United Kingdom WD3 1DE
PERISSO LABS LIMITED,17087032,active,ltd,,,2026-03-12,,2026-03-12,[62020],19 Evans Grove St. Albans England AL4 9PJ
THE EDGE FREEHOLD MANAGEMENT LIMITED,17087507,active,ltd,,,2026-03-12,,2026-03-12,[98000],3 The Edge Hemel Hempstead England HP3 9FL
