company_name,company_number,first_director,first_director_forename,source,retrieved
SWEETCROFT BESPOKE JOINERY LTD,16857135,Matthew Aitken,Matthew,Companies House /officers,2026-09-13
THE GLASS LOUNGE AT ELSIE HOUSE LIMITED,16839855,Francesca Musk,Francesca,Companies House /officers,2026-09-13
CONNECTED PLAY LTD,16841587,James Robert Derek Harvey,James,Companies House /officers,2026-09-13
SPECIALTY DIAGNOSTIX GB & NI LIMITED,16850260,Oliver James Hutton,Oliver,Companies House /officers,2026-09-13
KINDRED CYBER LTD,16839834,Anthony Stuart Davis,Anthony,Companies House /officers,2026-09-13
SAVY NUTRITION LTD,16846853,Ruben Dario Tabares,Ruben,Companies House /officers,2026-09-13
THE CONSTRUCTION SPECIALIST LTD,16847550,Callum James O'Connor,Callum,Companies House /officers,2026-09-13
JL25 RESTAURANTS LTD,16838922,Luke Oliver Johnson,Luke,Companies House /officers,2026-09-13
THE MILLSMATCH LTD,16840089,Ara Di Doreen Mabutol,Ara,Companies House /officers,2026-09-13
FOOTPRO PODIATRY LIMITED,16846581,Robert Stephen Saunders,Robert,Companies House /officers,2026-09-13
FILIZ PHOTOGRAPHY LTD,16849650,Filiz Gultekin,Filiz,Companies House /officers,2026-09-13
JUSTINES LTD,16838427,Axel Loughrey,Axel,Companies House /officers,2026-09-13
THERECYCLEHUB LIMITED,16857580,Anna Rosalie Cooper,Anna,Companies House /officers,2026-09-13
LONDON MATHS TUTORS LTD,16850451,Amila Madusanka Abeysundara Hettige,Amila,Companies House /officers,2026-09-13
TALEA CARE GROUP LTD,16855878,Vipul Parbat,Vipul,Companies House /officers,2026-09-13
ZAMANI BRAND IP LTD,16850635,Mohamad Ali Zamani,Mohamad,Companies House /officers,2026-09-13
SANTÉ STUDIO LTD,16865998,Leyla Amina Zianne,Leyla,Companies House /officers,2026-09-13
ZOTO MEDICAL LIMITED,16870502,Dean Russell Gainsley,Dean,Companies House /officers,2026-09-13
SALON SHARESIES LTD,16874995,Haylee Jane Benton,Haylee,Companies House /officers,2026-09-13
JM-DM SERVICES LTD,16878067,James Rutherford Maughan,James,Companies House /officers,2026-09-13
ENOSIS CONSULTANCY LTD,16878638,Aikaterini Roumpedaki,Aikaterini,Companies House /officers,2026-09-13
FOUR SQUARE SPACES LIMITED,16829164,Alastair James Doouss,Alastair,Companies House /officers,2026-09-13
CUBIC ONE PROPERTY SERVICES LTD,16827683,Mario Castiglione,Mario,Companies House /officers,2026-09-13
SB PLUMBING SERVICES LTD,16836904,Stephen John Butler,Stephen,Companies House /officers,2026-09-13
MCO HEATING SERVICES LIMITED,16844150,Matthew Edward Wright,Matthew,Companies House /officers,2026-09-13
