company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
ZERO PER KILO LIMITED,16685790,active,ltd,,,2025-09-01,,2025-09-01,[03110, 46380],Top Floor, Leeside Works Stanstead Abbotts United Kingdom SG12 8DL
WIZARD COMPUTECH LIMITED,16688087,active,ltd,,,2025-09-02,,2025-09-02,[62020],1 Britannia Puckeridge Ware England SG11 1TG
B'LOONIES LTD,16685585,active,ltd,,,2025-09-01,,2025-09-01,[47910],83a Mobbsbury Way Stevenage United Kingdom SG2 0HY
HAIRBINET LTD,16688673,active,ltd,,,2025-09-02,,2025-09-02,[96020],5a Holme Close Hatfield United Kingdom AL10 9LQ
HOME 12 LTD,16690621,active,ltd,,,2025-09-03,,2025-09-03,[64209],Unit 12a Brickfields Industrial Estate Hemel Hempstead United Kingdom HP2 7QA
CONSTRUCTIVA LIMITED,16697147,active,ltd,,,2025-09-05,,2025-09-05,[41100],58 Meadway Barnet England EN5 5LB
S&R CONSTRUCTION AND ELECTRICAL LIMITED,16703895,active,ltd,,,2025-09-09,,2025-09-09,[41202],Building 1 St. Cross Chambers Hoddesdon United Kingdom EN11 8LQ
MJAJ SERVICES LIMITED,16692626,active,ltd,,,2025-09-03,,2025-09-03,[43341],First Floor 7 Viewpoint Office Village Stevenage United Kingdom SG1 2EQ
KENSTAR INVESTMENTS LTD,16693251,active,ltd,,,2025-09-04,,2025-09-04,[64209],Unit 1 Ashville Trading Estate Baldock United Kingdom SG7 6NN
AM STOCK PROPERTIES LIMITED,16694591,active,ltd,,,2025-09-04,,2025-09-04,[68209],C/O Hillier Hopkins Llp First Floor, Radius House Watford United Kingdom WD17 1HP
MUHAMMAD LIYAWDEEN LTD,16697857,active,ltd,,,2025-09-05,,2025-09-05,[86900],Unit 4, Stirling Court Yard Borehamwood England WD6 2FX
MILANO MENSWEAR LIMITED,16693769,active,ltd,,,2025-09-04,,2025-09-04,[47710],11 The Galleria Hatfield United Kingdom AL10 0XR
VANTRU CORPORATE OFFICERS UK LIMITED,16698307,active,ltd,,,2025-09-05,,2025-09-05,[74909],Suite 210 C/O Novus Partnership Limited Hemel Hempstead England HP2 7DX
A&N INDEPENDENCE LTD,16690647,active,ltd,,,2025-09-03,,2025-09-03,[59112, 73120, 90030],Flat 6 Brickdale House Swingate Stevenage United Kingdom SG1 1AS
GZM MOTORS LTD,16697515,active,ltd,,,2025-09-05,,2025-09-05,[45112],Rear Of 17 Plantagenet Road Barnet United Kingdom EN5 5JG
