company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
MEP GEE'S LIMITED,16669695,active,ltd,,,2025-08-25,,2025-08-25,[81222],Flat 9, Blakesley House London United Kingdom E12 5NS,,,
MONSTERA STAN LTD.,16669697,active,ltd,,,2025-08-25,,2025-08-25,[01300, 46220, 47760, 63910],Flat 92 Cranmer Court London United Kingdom SW3 3HN,,,
CROWNLANE HORIZON LTD,16670726,active,ltd,,,2025-08-26,,2025-08-26,[79909],Office 92, Unit 5 399-405 Oxford Street, Mayfair London England W1C 2BU,crownlane.vip,support@crownlane.vip,Confirmed
UKSTOCKMATE LTD,16670744,active,ltd,,,2025-08-26,,2025-08-26,[47910],Suite Ra01 195-197 Wood Street London United Kingdom E17 3NU,,,
EMPIRE RECRUITMENT LIMITED,16670748,active,ltd,,,2025-08-26,,2025-08-26,[78109, 78200],1 Tudor Court Windlesham England GU20 6PJ,,,
SAYLESS TECHNOLOGIES LTD,16670955,active,ltd,,,2025-08-26,,2025-08-26,[72190],Flat 16 The Merchant Building London England N1 7GS,,,
ARCTIC CREDIT PARTNERS LIMITED,16662491,active,ltd,,,2025-08-20,,2025-08-20,[64999],2nd Floor Connaught House, 1-3 Mount Street London United Kingdom W1K 3NB,arctic.com/arcticcreditpartners,,Likely
KEMIK FARMS FOODS LTD,16647410,active,ltd,,,2025-08-13,,2025-08-13,[10890],167-169 Great Portland Street London England W1W 5PF,,,
FORGEAPIS LTD,16671256,active,ltd,,,2025-08-26,,2025-08-26,[62012],26 St. Anthonys Flats London England NW1 1SA,forgeapis.com,hello@forgeapis.com,Confirmed
INNOVATE TO EDUCATE LTD,16671339,active,ltd,,,2025-08-26,,2025-08-26,[62020],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
TJIUM LTD,16671345,active,ltd,,,2025-08-26,,2025-08-26,[47910, 47990],Flat 76 Chelsea Manor Court London United Kingdom SW3 5SD,,,
BRAINSTORM ARENA LTD,16671350,active,ltd,,,2025-08-26,,2025-08-26,[47910],Flat 132 Tyburn Gardens 13 Peto Street North London England E16 1RN,,,
BOOTHIFUL MOMENTS LIMITED,16671631,active,ltd,,,2025-08-26,,2025-08-26,[74209],31 Ferme Park Road London United Kingdom N4 4EB,boothifulmoments.square.site,,Confirmed
KAE TODT LTD,16672018,active,ltd,,,2025-08-26,,2025-08-26,[62090, 63120, 74100, 82990],124-128 City Road London England EC1V 2NX,kaetodt.com,info@kaetodt.com,Confirmed
MONZA INVESTMENT HOLDINGS LIMITED,16672002,active,ltd,,,2025-08-26,,2025-08-26,[68209],Flat B London United Kingdom NW6 5LD,,,
ABOUELELA TRADING GROUP LTD,16672012,active,ltd,,,2025-08-26,,2025-08-26,[46900, 50200],10 Portal Way London England W3 6RT,,,
BUDDY BUDDY LTD,16672152,active,ltd,,,2025-08-26,,2025-08-26,[71129],Flat 4, 5 Highfield Close London United Kingdom SE13 6US,,,
NEW START PILATES LIMITED,16672279,active,ltd,,,2025-08-26,,2025-08-26,[93130],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
MILANI LONDON LTD,16672269,active,ltd,,,2025-08-26,,2025-08-26,[64304],Flat 12 Beechey House London England E1W 2QF,,,
