company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
NW LONDON PROPERTIES LTD,17061629,active,ltd,,,2026-03-01,,2026-03-01,[68100, 68209],18 Spencer Close London England N3 3TX,,,
HAMILTON BUSINESS SERVICES LTD,17061796,active,ltd,,,2026-03-01,,2026-03-01,[46900, 62020, 70229, 82990],32 Sybourn Street London England E17 8HA,,,
LIGHTS ESTATES LTD,17061830,active,ltd,,,2026-03-01,,2026-03-01,[68100],22 Firsby Road London England N16 6QA,,,
UNIQUE ROOFING AND BUILDING SERVICES LTD,17061828,active,ltd,,,2026-03-01,,2026-03-01,[43910],9 Jerdan Place London England SW6 1BE,uniqueroofingandbuildingservicesltd.com,,Confirmed
PROACTIVE CARE & SUPPORT LTD,17062097,active,ltd,,,2026-03-02,,2026-03-02,[47749],3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE,,,
TALKWUTY LTD,17062088,active,ltd,,,2026-03-02,,2026-03-02,[47910],Unit 247 48 Waterside Heights London United Kingdom E16 2GP,,,
STAR LANE MEDIA SUITES LTD,17062212,active,ltd,,,2026-03-02,,2026-03-02,[47750, 59112, 59200],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
EVANGELINE ARTISTRY LTD,17062223,active,ltd,,,2026-03-02,,2026-03-02,[96020],210 Old Brompton Road London England SW5 0BS,,,
COLLECTIVE HUMAN ARTIFICIAL INTELLIGENCE LTD,17062393,active,ltd,,,2026-03-02,,2026-03-02,[62012, 62020, 74909, 85520],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
GROWN RECORDS LTD,17062396,active,ltd,,,2026-03-02,,2026-03-02,[70229],2 Kingly Street London England W1B 5PW,,,
VERIVANTA AI LTD,17062625,active,ltd,,,2026-03-02,,2026-03-02,[62012],84 Uxbridge Road Suite 3, Second Floor London United Kingdom W13 8RA,verivanta.ai,,Confirmed
BMVL LTD,17062936,active,ltd,,,2026-03-02,,2026-03-02,[47910],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
KYTHERMA LOGIC LTD,17062943,active,ltd,,,2026-03-02,,2026-03-02,[70229],71-75 Shelton Street London United Kingdom WC2H 9JQ,kythermalogic.co.uk,,Confirmed
ARCHITECTURE DEZINE LTD,17062959,active,ltd,,,2026-03-02,,2026-03-02,[71111, 71112, 71121, 74100],128 City Road London United Kingdom EC1V 2NX,architecturedezine.com,,Likely
NORTH STAR LIVING (KGX) LTD,17063293,active,ltd,,,2026-03-02,,2026-03-02,[68100],Birchin Court 20 Birchin Lane London United Kingdom EC3V 9DU,,,
SAFI INTERNATIONAL CAPITAL LTD,17063286,active,ltd,,,2026-03-02,,2026-03-02,[64999],71-75 Shelton Street London England WC2H 9JQ,saficapital.com,,Confirmed
MINUTE MARKETING LONDON LTD,17063551,active,ltd,,,2026-03-02,,2026-03-02,[73120],Flat 7 178a London United Kingdom E11 3HU,,,
HARGROVES CAPITAL LIMITED,17063528,active,ltd,,,2026-03-02,,2026-03-02,[64921],101 New Cavendish Street London United Kingdom W1W 6XH,,,
BOL LTD,17063549,active,ltd,,,2026-03-02,,2026-03-02,[16230],11 Manor Close London England E17 5RT,,,
32 OSBORNE ROAD LIMITED,17064130,active,ltd,,,2026-03-02,,2026-03-02,[98000],32 Osborne Road Hornsey London United Kingdom N4 3SD,,,
EARTH AND TWIN ELECTRICAL CONTRACTORS LTD,17064124,active,ltd,,,2026-03-02,,2026-03-02,[43210],292 Green Lane London England SE9 3TH,eandtelectrical.co.uk,,Confirmed
7 ETON AVENUE FREEHOLD COMPANY LIMITED,17064135,active,ltd,,,2026-03-02,,2026-03-02,[98000],7 Eton Avenue London England NW3 3EL,,,
NUSTA ENTERPRISES LTD,17064127,active,ltd,,,2026-03-02,,2026-03-02,[47910],Office 17700. 182-184 London England E6 2JA,nustaenterprises.com,,Confirmed
MDY GLOBAL GROUP LTD,17064571,active,ltd,,,2026-03-02,,2026-03-02,[47910, 58290, 62012, 62020],Suite 10580 5 Brayford Square London United Kingdom E1 0SG,,,
AJET E&E RESTAURANT LTD,17064557,active,ltd,,,2026-03-02,,2026-03-02,[56102],91 Bloemfontein Road London England W12 7DA,,,
MARIN 2026 LIMITED,17064794,active,ltd,,,2026-03-02,,2026-03-02,[81210],22 Jasmin Court Woodyates Road London England SE12 9HP,,,
EPCLEAR LTD,17064815,active,ltd,,,2026-03-02,,2026-03-02,[58290],40b Linden Avenue London United Kingdom NW10 5QT,,,
THE HUMAN EDIT LTD,17065284,active,ltd,,,2026-03-02,,2026-03-02,[70229, 78300],124-128 City Road London England EC1V 2NX,,,
ATELIER CURATED COLLECTIVE LTD,17065276,active,ltd,,,2026-03-02,,2026-03-02,[47599],4th & 5th Floor, 22-23 St. Cross Street London United Kingdom EC1N 8UH,,,
STRATMOND DEVELOPMENTS LTD,17065274,active,ltd,,,2026-03-02,,2026-03-02,[41100],7 Watermint Quay London United Kingdom N16 6DN,,,
SWARMD LIMITED,17065586,active,ltd,,,2026-03-02,,2026-03-02,[62012],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
ROCHAY ASSET HOLDINGS LTD,17065585,active,ltd,,,2026-03-02,,2026-03-02,[64209],71-75 Shelton Street London United Kingdom WC2H 9JQ,rochaygroup.com,,Likely
CGD 1 (UK) LIMITED,17066097,active,ltd,,,2026-03-03,,2026-03-03,[99999],167-169 Great Portland Street, 5th Floor London England W1W 5PF,cgdgroup.co.uk,,Confirmed
FRANK AI LIMITED,17066113,active,ltd,,,2026-03-03,,2026-03-03,[62012, 62020, 63120, 71200],2 Swinton House London United Kingdom W2 3HB,,,
TERORI LTD,17066419,active,ltd,,,2026-03-03,,2026-03-03,[47910],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
