company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
DRAYTIX LTD,16835194,active,ltd,,,2025-11-05,,2025-11-05,[47910, 47990],Office 17417, 182-184 High Street North London E6 2JA,,,
PYLOT TECHNOLOGIES LTD,16861659,active,ltd,,,2025-11-17,,2025-11-17,[62012],42 Rowena Crescent London United Kingdom SW11 2PT,,,
MOTION DEPARTMENT LIMITED,16830992,active,ltd,,,2025-11-04,,2025-11-04,[82990, 90020],1st Floor 104 Oxford Street London United Kingdom W1D 1LP,,,
HU PROPERTY MANAGEMENT LTD,16847764,active,ltd,,,2025-11-11,,2025-11-11,[68209],3rd Floor Marlborough House Finchley United Kingdom N3 2SZ,,,
RLDB HOLDINGS LIMITED,16857616,active,ltd,,,2025-11-14,,2025-11-14,[64209],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
PRERONA UK LIMITED,16862446,active,ltd,,,2025-11-17,,2025-11-17,[96090],111 Charterhouse Street London England EC1M 6AW,,,
MSI ACCOUNTEX LTD,16873595,active,ltd,,,2025-11-25,,2025-11-25,[69201, 69202, 69203],Rear Office, 24 Churchfield Road London England W3 6EG,msiaccountex.co.uk,,Confirmed
BLUE LANTERN LTD,16874990,active,ltd,,,2025-11-26,,2025-11-26,[47770, 47910],71-75 Shelton Street London England WC2H 9JQ,,,
AA INSPECT LTD,16868777,active,ltd,,,2025-11-21,,2025-11-21,[74909],124 City Road, London City Road London England EC1V 2NX,,,
BRIGHT GRID SOLUTIONS LIMITED,16875534,active,ltd,,,2025-11-26,,2025-11-26,[42990, 43210],20 Wenlock Road London England N1 7GU,,,
GUILDHALL EDUCATION & MEDIA LTD,16875446,active,ltd,,,2025-11-26,,2025-11-26,[58110, 58141, 58190],20 Wenlock Road London England N1 7GU,,,
LB NAMECO 1 LIMITED,16874050,active,ltd,,,2025-11-25,,2025-11-25,[96090],100 Wood Street London United Kingdom EC2V 7AN,,,
LVS HOLDINGS LTD,16858770,active,ltd,,,2025-11-16,,2025-11-16,[70229],71-75 Shelton Street London England WC2H 9JQ,,,
CALVARY CARE HOMES LTD,16853587,active,ltd,,,2025-11-13,,2025-11-13,[87200, 87900],Office 204 10 Courtenay Road London United Kingdom HA9 7ND,,,
LUNAR WAT£R LTD,16842631,active,ltd,,,2025-11-10,,2025-11-10,[43220],239 Watford Way London England NW4 4SL,,,
NETHRAL GAMES LTD,16879416,active,ltd,,,2025-11-28,,2025-11-28,[47910],167-169 Great Portland Street London England W1W 5PF,,,
ASLAN KAYA LTD,16837805,active,ltd,,,2025-11-06,,2025-11-06,[47110],6/8 Whitmore Road London England N1 5DT,,,
L S DEARF LTD,16836379,active,ltd,,,2025-11-06,,2025-11-06,[47910, 73110, 74100, 90030],167-169 Great Portland Street London England W1W 5PF,,,
BARTONIQ LTD,16868578,active,ltd,,,2025-11-21,,2025-11-21,[62012, 71122],167-169 Great Portland Street London England W1W 5PF,bartoniq.com,rb@bartoniq.com,Confirmed
CYBERSAFE COACH PLUS LTD,16872486,active,ltd,,,2025-11-25,,2025-11-25,[62012, 62090, 70229],124 City Road London England EC1V 2NX,,,
APROP COOMBE ROAD LTD,16868305,active,ltd,,,2025-11-21,,2025-11-21,[68100],Lower Ground Floor London England N15 6LT,,,
MAS ONLINE LTD,16841160,active,ltd,,,2025-11-08,,2025-11-08,[47910, 69202, 69203],71-75 Shelton Street,Covent Garden,London London England WC2H 9JQ,,,
SCOPED MEDIA LTD,16877677,active,ltd,,,2025-11-27,,2025-11-27,[59120],Suite 2 203 205 The Vale London England W3 7QS,,,
ROHA PARK CAFE RESTAURANT LTD,16867221,active,ltd,,,2025-11-20,,2025-11-20,[56102],Windmill Gardens London England SW18 2PH,,,
PRIMEMERCH LTD,16825476,active,ltd,,,2025-11-02,,2025-11-02,[47910],1 Turle Road London England SW16 5QW,,,
DESHI TEA AND SNACKS LTD,16846190,active,ltd,,,2025-11-11,,2025-11-11,[56102, 56103],239 Whitechapel Road London United Kingdom E1 1DB,,,
NIR GROWTH LTD,16839088,active,ltd,,,2025-11-07,,2025-11-07,[70229],167-169 Great Portland Street Great Portland Street London England W1W 5PF,,,
COIN MIDCO 2 LIMITED,16863431,active,ltd,,,2025-11-18,,2025-11-18,[64209],101 New Cavendish Street 1st Floor South London England W1W 6XH,,,
PINE TREE HOUSING LIMITED,16868433,active,ltd,,,2025-11-21,,2025-11-21,[68209],Level 5a Maple House London United Kingdom W1T 7NF,,,
BG JALARAM HOUSING LIMITED,16868430,active,ltd,,,2025-11-21,,2025-11-21,[68209],Level 5a Maple House London United Kingdom W1T 7NF,,,
BG JAI SHRI KRISHNA GROUP LIMITED,16868367,active,ltd,,,2025-11-21,,2025-11-21,[68209],Level 5a Maple House London United Kingdom W1T 7NF,,,
SOUTHWOODS GROUP LIMITED,16828596,active,ltd,,,2025-11-03,,2025-11-03,[68209],C/O Band London United Kingdom EC1M 6AW,,,
SAGE SIGNAL BUREAU LTD,16865383,active,ltd,,,2025-11-19,,2025-11-19,[82990],167-169 Great Portland Street London England W1W 5PF,,,
PRIMETHINK AI LTD,16864862,active,ltd,,,2025-11-19,,2025-11-19,[62012, 62020, 62090],C/O L&C Llp City Bridge House London United Kingdom SE1 1RU,,,
COIN MIDCO 1 LIMITED,16863418,active,ltd,,,2025-11-18,,2025-11-18,[64209],101 New Cavendish Street 1st Floor South London England W1W 6XH,,,
COIN TOPCO LIMITED,16863384,active,ltd,,,2025-11-18,,2025-11-18,[64209],101 New Cavendish Street 1st Floor South London England W1W 6XH,,,
ESKENZI PR EOT LIMITED,16847530,active,ltd,,,2025-11-11,,2025-11-11,[82990],45 Pine Grove London England N20 8LA,eskenzipr.com,,Likely
ALLEN KEY GROUP LTD,16874016,active,ltd,,,2025-11-25,,2025-11-25,[45112, 45200],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
APROP MAIDSTONE LTD,16835062,active,ltd,,,2025-11-05,,2025-11-05,[68100],99 Clapton Common London England E5 9AB,,,
SASKATOON HOLDINGS LIMITED,16836628,active,ltd,,,2025-11-06,,2025-11-06,[64209],61 Harley Street London England W1G 8QU,,,
