company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
REGENCY CONCERTS LIMITED,16791955,active,ltd,,,2025-10-17,,2025-10-17,[93290],Lynton House London United Kingdom WV1H 9BQ,,,
ACJ NORMAN & CO LTD,16788417,active,ltd,,,2025-10-16,,2025-10-16,[70229],87 Chancery Lane London United Kingdom WC2A 1ET,,,
ANIS VIRANI ART STUDIO LTD,16787002,active,ltd,,,2025-10-15,,2025-10-15,[47910],Suite C196 4-6 Greatorex Street London E1 5NF,,,
TODAY'S STORE LIMITED,16754304,active,ltd,,,2025-10-01,,2025-10-01,[47110],262 Ground Floor Shop London England NW9 0BT,,,
NOBLE POINT LTD,16761326,active,ltd,,,2025-10-03,,2025-10-03,[46900, 52103, 70229, 85600],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
PORTORIVA WATCHES LTD,16815333,active,ltd,,,2025-10-28,,2025-10-28,[26520],124 City Road London England EC1V 2NX,,,
NEW ERA FORTUNE LTD,16799980,active,ltd,,,2025-10-21,,2025-10-21,[62090],167-169 Great Portland Street London England W1W 5PF,,,
KEA PAINTING LTD,16809322,active,ltd,,,2025-10-24,,2025-10-24,[43341, 43390],Flat 6 Halliwell Court London England SE22 0HS,https://keapainting.com/,,Confirmed
HADIZON PROPERTY GROUP LTD,16809824,active,ltd,,,2025-10-25,,2025-10-25,[68209, 68310, 68320, 81210],37 West Road London England E15 3PX,,,
KEKUSY LTD,16759693,active,ltd,,,2025-10-02,,2025-10-02,[41201],Room 1,First Floor,City Gate House London United Kingdom E7 9HZ,,,
BPION GLOBAL LTD,16796890,active,ltd,,,2025-10-20,,2025-10-20,[82990],10 York Road London England SE1 7ND,https://bpion.com/,,Confirmed
VIRALED MEDIA LIMITED,16800345,active,ltd,,,2025-10-21,,2025-10-21,[63120],Flat 706 Barnacle House 1 Hemlock Street London England E14 0YW,https://long-list-006256.framer.app/,,Confirmed
CREATION EXHIBITS LIMITED,16782967,active,ltd,,,2025-10-14,,2025-10-14,[82301],483 Green Lanes London England N13 4BS,https://www.creationexhibits.com/,,Likely
BEKA PROPERTY SOLUTIONS LTD,16810820,active,ltd,,,2025-10-27,,2025-10-27,[68100, 68209, 68320],20 Wenlock Road London England N1 7GU,https://bekapropertysolutions.com/,,Likely
RADIUS GRID LTD,16757359,active,ltd,,,2025-10-01,,2025-10-01,[71122],167-169 Great Portland Street London England W1W 5PF,,,
HAYAT EQUITY LTD,16768338,active,ltd,,,2025-10-07,,2025-10-07,[64209, 68100, 68209],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
TASH CATERING LTD,16813821,active,ltd,,,2025-10-27,,2025-10-27,[56102],8 Clock House Parade London England N13 6BG,,,
ZEKNEO AI LTD,16758202,active,ltd,,,2025-10-02,,2025-10-02,[11070, 47910, 74100, 90020],2 Frederick Street London United Kingdom WC1X 0ND,https://zekneo.com/,,Confirmed
BLUESTONE EQUITY LTD,16792768,active,ltd,,,2025-10-17,,2025-10-17,[78200],167-169 Great Portland Street London England W1W 5PF,,,
CREDENZA FINANCE LTD,16795002,active,ltd,,,2025-10-20,,2025-10-20,[70221],20 Wenlock Road London England N1 7GU,,,
